user_id,line_no,station_no,on_site_time,lng,lat,run_id,station_id,dest,transfer
5.45048E+22,901,33,1602236061,109.4451,24.32138,18744941,31427,0,0
5.45048E+22,1001,38,1602230224,109.40996,24.33886,18744093,31465,0,0
5.45048E+22,1001,47,,109.40102,24.36435,18744093,31465,1,1
5.45048E+22,191,1,1602232141,109.40102,24.36435,18744563,31197,0,0
5.45048E+22,821,15,1602198749,109.40939,24.33525,18740389,29996,0,0
5.45048E+22,351,23,1602205285,109.38116,24.33847,18740745,30416,0,0
5.45048E+22,351,10,1602205302,109.37996,24.33856,18740745,30403,0,0
5.45048E+22,351,18,,109.38315,24.31606,18740745,30403,1,1
5.45048E+22,291,26,1602209385,109.38315,24.31606,18741336,30627,0,0
5.45048E+22,691,18,1602218651,109.42077,24.34756,18742446,28912,0,0
5.45048E+22,251,10,1602235690,109.39086,24.29024,18744898,27444,0,0
5.45048E+22,5071,7,1602216721,109.37655,24.31021,18742619,19857,0,0
5.45048E+22,5071,14,,109.38063,24.31982,18742619,19857,1,0
5.45048E+22,5071,14,1602224948,109.38063,24.31982,18743321,19864,0,0
5.45048E+22,5071,17,,109.37783,24.31037,18743321,19864,1,0
5.45048E+22,141,24,1602238415,109.37783,24.31037,18744602,30598,0,0
5.45048E+22,781,13,1602233770,109.41249,24.31818,18744095,31246,0,0
5.45048E+22,581,15,1602208990,109.40337,24.3178,18741677,31281,0,0
5.45048E+22,581,18,,109.4043,24.32627,18741677,31281,1,0
5.45048E+22,581,36,1602231108,109.4043,24.32627,18743922,31302,0,0
5.45048E+22,8008,13,1602238780,109.44163,24.33035,18745153,31661,0,0
5.45048E+22,621,23,1602202991,109.44412,24.32332,18740286,25880,0,0
5.45048E+22,621,32,,109.41214,24.30568,18740286,25880,1,1
5.45048E+22,8009,33,1602204447,109.41214,24.30568,18739899,31507,0,0
5.45048E+22,8009,41,,109.40128,24.30643,18739899,31507,1,0
5.45048E+22,8009,41,1602212966,109.40128,24.30643,18741615,31515,0,0
5.45048E+22,8009,46,,109.42805,24.30526,18741615,31515,1,1
5.45048E+22,621,16,1602215378,109.42805,24.30526,18742441,25873,0,0
5.45048E+22,8002,25,1602206857,109.42723,24.33312,18739845,17259,0,0
5.45048E+22,8002,33,,109.43138,24.36321,18739845,17259,1,0
5.45048E+22,8002,2,1602215654,109.43138,24.36321,18742643,17234,0,0
5.45048E+22,8002,26,,109.42726,24.3355,18742643,17234,1,0
5.45048E+22,8002,26,1602225065,109.42726,24.3355,18743126,17260,0,0
5.45048E+22,8002,34,,109.4323,24.36256,18743126,17260,1,0
5.45048E+22,8002,2,1602235387,109.4323,24.36256,18744513,17234,0,0
5.45048E+22,541,8,1602219605,109.41035,24.33237,18742782,31557,0,0
5.45048E+22,541,33,,109.41035,24.33237,18742782,31557,1,1
5.45048E+22,541,8,1602219623,109.41035,24.33237,18742782,31557,0,0
5.45048E+22,51,10,1602216986,109.40492,24.33789,18742755,31136,0,0
5.45048E+22,621,30,1602199956,109.4254,24.30664,18740289,25887,0,0
5.45048E+22,51,3,1602200699,109.40574,24.38407,18740043,31129,0,0
5.45048E+22,51,10,,109.40466,24.33301,18740043,31129,1,0
5.45048E+22,11,25,1602239955,109.40466,24.33301,18744414,31112,0,0
5.45048E+22,5091,17,1602221750,109.42696,24.36975,18742778,29903,0,0
5.45048E+22,5091,21,,109.39495,24.36263,18742778,29903,1,1
5.45048E+22,291,10,1602223649,109.39495,24.36263,18742425,30611,0,0
5.45048E+22,921,19,1602201848,109.37904,24.32146,18741074,29130,0,0
5.45048E+22,8008,24,1602213589,109.4032,24.3177,18741510,31672,0,0
5.45048E+22,61,1,1602213548,109.43581,24.30693,18742334,11099,0,0
5.45048E+22,241,21,1602201652,109.4085,24.32074,18739991,30464,0,0
5.45048E+22,101,4,1602226346,109.31304,24.26032,18743811,27563,0,0
5.45048E+22,11,7,1602220961,109.39318,24.37755,18742887,31094,0,0
5.45048E+22,11,20,,109.40816,24.31893,18742887,31094,1,1
5.45048E+22,191,28,1602224310,109.40816,24.31893,18743142,31224,0,0
5.45048E+22,281,30,1602240541,109.37632,24.26843,18743866,28274,0,0
5.45048E+22,211,7,1602240655,109.4162,24.30381,18745018,30656,0,0
5.45048E+22,161,15,1602218011,109.39197,24.30316,18742706,30908,0,0
5.45048E+22,161,23,,109.39197,24.30316,18742706,30908,1,1
5.45048E+22,161,15,1602218037,109.39197,24.30316,18742706,30908,0,0
5.45048E+22,21,9,1602223890,109.40895,24.32459,18743269,30434,0,0
5.45048E+22,811,15,1602200966,109.37022,24.27386,18740936,28130,0,0
5.45048E+22,811,27,,109.33136,24.25925,18740936,28130,1,0
5.45048E+22,811,27,1602234257,109.33136,24.25925,18744383,28142,0,0
5.45048E+22,11,24,1602219121,109.4046,24.33217,18742693,31111,0,0
5.45048E+22,11,25,,109.40471,24.33278,18742693,31111,1,1
5.45048E+22,781,26,1602219756,109.40471,24.33278,18742187,31259,0,0
5.45048E+22,231,37,1602199627,109.43593,24.32134,18740171,24274,0,0
5.45048E+22,51,10,1602234031,109.40472,24.33554,18744467,31136,0,0
5.45048E+22,51,23,,109.41075,24.32871,18744467,31136,1,1
5.45048E+22,541,33,1602234924,109.41075,24.32871,18744323,31582,0,0
