user_id,driver_no,vehicle_no,on_site_time,lng,lat
54504749118690509718878,1047.0,2221,1602199539.0,109.40643999999999,24.315160000000002
54504749604422319867230,8005.0,2183,1602200217.0,109.38125,24.30366
54504749604422319867230,8185.0,2211,1602238682.0,109.4418,24.3263
54504749604422319867230,7849.0,2066,1602241888.0,109.38936000000001,24.309179999999998
54504749780663081633118,8490.0,2269,1602213474.0,109.40641000000001,24.3174
54504751944054214755696,8264.0,2427,1602206644.0,109.36501000000001,24.27259
54504751944054214755696,6675.0,2362,1602207242.0,109.3807,24.277060000000002
54504751944054214755696,5043.0,2057,1602214469.0,109.40813,24.30804
54504751944054214755696,8264.0,2427,1602217256.0,109.39587,24.30625
54504752002778228852080,8856.0,1642,1602223479.0,109.38972,24.30864
54504752678391616897473,7816.0,2250,1602224425.0,109.40023000000001,24.36488
54504752952215109370305,7800.0,2469,1602223558.0,109.42612,24.283920000000002
54504753035605120647617,6133.0,2031,1602204020.0,109.37888000000001,24.32161
54504753035605120647617,6133.0,2031,1602204028.0,109.37888999999998,24.32161
54504753391367999193537,7816.0,2250,1602235455.0,109.40955,24.28446
54504753391367999193537,2558.0,2002,1602237042.0,109.40883999999998,24.319670000000002
54504753391367999193537,8189.0,1947,1602253642.0,109.39495,24.3621
54504753391367999193537,5770.0,2097,1602255347.0,109.40971,24.318279999999998
54504753487602110169537,7401.0,2162,1602199791.0,109.435,24.26373
54504753487602110169537,7401.0,2162,1602199795.0,109.435,24.26373
54504753487602110169537,7401.0,2162,1602199804.0,109.435,24.26373
54504753487602110169537,7401.0,2162,1602199808.0,109.435,24.26373
54504753871105108739975,5010.0,2410,1602201138.0,109.38786,24.31281
54504753871105108739975,6778.0,1782,1602247141.0,109.40613,24.31888
54504754329360939353991,8594.0,2032,1602232080.0,109.37912,24.32143
54504754329360939353991,8594.0,2032,1602232090.0,109.37912,24.32143
54504754353949627123591,1495.0,1298,1602224254.0,109.41077,24.328310000000002
54504754359864870832007,2574.0,1843,1602224853.0,109.36563999999998,24.25992
54504754359864870832007,813.0,2295,1602227731.0,109.398,24.300929999999997
54504754359864870832007,7999.0,2291,1602235945.0,109.40463000000001,24.33551
54504754388591759591303,2371.0,1863,1602208159.0,109.35846000000001,24.34238
54504754388591759591303,5175.0,1881,1602214553.0,109.37716999999999,24.33861
54504754388591759591303,2368.0,1860,1602217346.0,109.36353000000001,24.3283
54504754400813089032071,8296.0,1855,1602205457.0,109.35942,24.33889
54504754400813089032071,1382.0,1833,1602236057.0,109.40676,24.3191
54504754400813089032071,7387.0,1855,1602238216.0,109.36958,24.32845
54504754405605198792583,6852.0,1988,1602216740.0,109.40876000000002,24.33437
54504754414972522465159,7043.0,2459,1602201664.0,109.3913,24.30819
54504754414972522465159,8268.0,2409,1602238731.0,109.39461999999999,24.27348
54504754415175459669895,7673.0,2402,1602218070.0,109.43428,24.293689999999998
54504754415175459669895,5290.0,1987,1602230464.0,109.42051000000001,24.28685
54504754415175459669895,7007.0,1668,1602235098.0,109.40081,24.30658
54504754415175459669895,7041.0,2281,1602235378.0,109.4071,24.30506
54504754415307529914247,7199.0,1938,1602226065.0,109.40445,24.330270000000002
54504754415307529914247,2473.0,1937,1602255609.0,109.4066,24.361320000000003
54504754415684413294471,2387.0,1994,1602216610.0,109.39948999999999,24.39115
54504754415716625549191,5032.0,1885,1602199275.0,109.37037,24.30922
54504754415716625549191,7848.0,1864,1602213489.0,109.39899,24.33813
54504754415875539339143,1424.0,2052,1602223415.0,109.40648999999999,24.319020000000002
54504754416577766492039,8273.0,2270,1602201094.0,109.39013999999999,24.287
54504754416577766492039,8579.0,2260,1602237579.0,109.40642,24.318270000000002
54504754416689435641735,7080.0,2097,1602198351.0,109.42062,24.28668
54504754416689435641735,2609.0,1982,1602254650.0,109.40678999999999,24.31878
54504754417911353837447,5336.0,1617,1602206467.0,109.44908999999998,24.32209
54504754417911353837447,8483.0,8808,1602218384.0,109.40651000000001,24.31588
54504754418094963689351,8013.0,1580,1602197214.0,109.38911999999999,24.30885
54504754418203411613575,8431.0,2105,1602201153.0,109.42703,24.3439
54504754418203411613575,8431.0,2105,1602209910.0,109.39076000000001,24.308510000000002
54504754418203411613575,8431.0,2105,1602210093.0,109.38563,24.30857
54504754418203411613575,8446.0,2106,1602220677.0,109.40468,24.30528
54504754418566336350087,5995.0,1893,1602201754.0,109.37116999999999,24.3073
54504754418566336350087,7386.0,1832,1602239671.0,109.36804,24.3283
54504754418566336350087,7055.0,1816,1602240394.0,109.37781000000001,24.32234
54504754422894589642631,5214.0,2452,1602201223.0,109.38356999999999,24.290010000000002
54504754422894589642631,992.0,1606,1602202938.0,109.38948,24.30891
54504754422894589642631,7200.0,1693,1602236370.0,109.4358,24.32855
54504754422894589642631,6390.0,2374,1602238099.0,109.40473,24.32274
54504754423332676306823,6809.0,2321,1602218929.0,109.32906000000001,24.25725
54504754423593595570055,7772.0,2181,1602236061.0,109.4451,24.321379999999998
54504754425266485331847,6157.0,2145,1602230224.0,109.40996000000001,24.33886
54504754425266485331847,8417.0,2259,1602232141.0,109.40101999999999,24.36435
