line_no,station_no,actual_dis,Ave_travelTime,Ave_bus_stopTime,morningAve_travelTime,morningAve_bus_stopTime,noonAve_travelTime,noonAve_bus_stopTime,evenAve_travelTime,evenAve_bus_stopTime,otherAve_travelTime,otherAve_bus_stopTime
11,1,0,0,13.3936170212766,0,13.5454545454545,0,10,NaN,NaN,0,11.6615384615385
11,2,411,79.4893616945185,19.9627659675923,71.6999999880791,16.7166666785876,69.0300000429153,16.8299999475479,NaN,NaN,84.1174603038364,21.4682539871761
11,3,457,88.6193616973593,20.0412765944258,70.8749999801318,16.2750000357628,74.1960000276566,16.844000005722,NaN,NaN,96.1017187424004,21.7810937389731
11,4,359,78.9826595732506,22.238617016914,69.9074999888738,16.8174999952316,70.739999961853,16.8799999952316,NaN,NaN,84.0389062575996,24.6439062468708
11,5,498,92.6726595822801,22.9050000043626,83.2949999968211,22.2633333603541,85.0320000171661,18.1679999828339,NaN,NaN,97.5564615469712,23.780461538755
11,6,480,81.3154255380022,17.661170203635,75.5836363272233,15.9618181748824,75.3120000600815,16.667999958992,NaN,NaN,84.3804615424229,18.284153846594
11,7,360,64.0340425410169,17.8574468125688,63.434999982516,16.3483333587646,59.3099999904633,14.9400000095367,NaN,NaN,64.4596874900162,18.8684374950826
11,8,445,88.3420212776103,27.7292553287871,81.6875000198682,26.8625000119209,69.2099999904633,21.0300000190735,NaN,NaN,94.3898437544703,29.5335937552154
11,9,666,141.302234043466,28.7839361682851,110.036666671435,26.6049999793371,116.919000005722,26.680999994278,NaN,NaN,152.676249999553,30.128437500447
11,10,552,138.052553199707,26.4282978620935,132.576923095263,24.2923076519599,139.300000005298,25.3111111323039,NaN,NaN,141.480158733943,27.710317456533
11,11,273,85.6889361701113,21.595106373442,78.7707692476419,18.9830769208761,81.4400000042386,17.0933332708147,NaN,NaN,88.8790476170797,22.7003174509321
11,12,715,107.50265958715,25.3803191666907,99.5925000111262,22.5825000206629,101.943000030518,24.7470000505447,NaN,NaN,110.197096790037,26.312580654698
11,13,648,114.109893606064,19.1603191355441,94.3349999586741,18.056666692098,108.701999974251,17.4179999351501,NaN,NaN,121.484920630379,20.0388888745081
11,14,365,46.1504255178127,18.1634042592759,44.5574999650319,18.8591666618983,43.254000043869,16.9960000038147,NaN,NaN,46.7050793473683,18.2901587372734
11,15,803,110.036489372558,26.2837233999942,118.702500005563,27.9308333595594,100.088999986649,22.6909999847412,NaN,NaN,111.387142870161,26.6731745969682
11,16,942,118.978617028987,21.0171276533857,120.522727272727,20.3409090909091,110.730000045564,19.4811110761431,NaN,NaN,120.705714290104,21.6323809472341
11,17,403,59.471808504551,19.8420212877558,62.5990909012881,19.5099999904633,58.7069999933243,19.1030000448227,NaN,NaN,59.9240322574492,20.1695161327239
11,18,735,108.689361711766,22.495744669691,105.967500011126,23.0324999888738,94.967999958992,22.3520000219345,NaN,NaN,112.165081985661,22.5496721150445
11,19,321,85.0339361632124,30.5532979102845,91.717499991258,31.5741667151451,96.0390000104904,28.4109999895096,NaN,NaN,82.978870953283,31.3566129553703
11,20,400,166.06925529622,35.4647872092876,184.36615382708,34.2107691764832,151.159090909091,41.5227272510529,NaN,NaN,163.296666638056,36.0466666420301
11,21,395,196.58340427977,31.0846808438605,205.116923112136,26.1215384556697,211.185000022252,40.8983333309491,NaN,NaN,190.473333350817,30.3216666658719
11,22,174,60.7352127673778,15.8541489383008,55.9115384542025,11.8653846153846,79.9000000158946,18.5583333174388,NaN,NaN,59.0626666625341,16.7190000096957
11,23,275,49.9356382780887,20.0590425704388,53.9861538410187,20.9523077194507,52.9269230549152,19.326923095263,NaN,NaN,48.1133898112734,19.6154237399667
11,24,606,115.674255315294,19.0204255377993,125.584615377279,21.0692307765667,116.930769223433,18.776923087927,NaN,NaN,113.94813559419,18.5484745825751
11,25,310,53.3648935962231,22.6510638480491,49.8761538175436,21.362307713582,50.8153845897088,20.5153846373925,NaN,NaN,54.9066101494482,23.4357627286749
11,26,1007,136.804787235057,27.6547872563626,144.712500015895,27.7875000238419,126.877499997616,26.405833363533,NaN,NaN,137.239500002066,27.8521666844686
11,27,762,110.099574449215,20.4865957270277,109.874999960264,20.849999944369,99.6974999904633,18.6191666523616,NaN,NaN,113.907377031983,20.9450819531425
11,28,551,69.9453191503565,16.7706382984811,69.5781818736683,15.3490909012881,60.6876922754141,16.0738461567805,NaN,NaN,72.0524999976158,17.2508333365122
11,29,378,75.9829787269552,30.8202127877702,65.9399999976158,30.1516666809718,76.5484615839445,30.0515384307274,NaN,NaN,78.6386440648871,31.7189830804275
11,30,1014,191.363936165546,33.3243616870109,188.556923077657,29.8046153692099,193.133571437427,31.1021428619112,NaN,NaN,192.145344816405,34.4460344684535
11,31,553,117.080425546524,27.9876595558004,107.993076966359,24.1992307259486,105.267857125827,23.2464285748345,NaN,NaN,122.805000013319,30.3932758487504
11,32,670,112.580425551597,21.3312765867152,98.8874999682109,18.3291667103767,93.5549999986376,16.8235714435577,NaN,NaN,120.949322066065,23.3489830251467
11,33,300,72.8779787053453,16.8156383215113,60.0674999554952,15.0908333659172,52.0714285373688,13.5714286054884,NaN,NaN,82.4079660924814,18.0632203595113
11,34,413,71.4398936261522,16.9090425410169,71.3250000079473,15.758333325386,64.2600000063578,15.1933333396912,NaN,NaN,72.6788135706368,17.5262711654275
11,35,439,73.385425547336,18.4464893391792,63.4500000079473,16.0416666666667,70.6919999917348,17.9279999891917,NaN,NaN,76.3077966318292,19.1125423463724
